,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8
Link_1,97.18494657447631,374.4115326756011,388.50300953112236,283.9156904022221,4.07128645364631,2.617794472708311,2.617836062000605,6.689103451144039
Link_2,293.717538907071,351.05209777350984,351.05209776742134,1.5398759410345796e-05,14.766133908389453,313.43868304009345,324.8267916462336,272.9369503510484
Link_3,86.99431609713761,388.5030095551945,388.5030095286164,283.91568678930525,14.766137247062549,14.766131426723398,14.766132476351888,6.07720376423924e-07
Link_4,58.33806615766629,58.33807014033846,74.37271387261892,3.7299650368630974e-06,4.07128415778375,58.338042628421526,58.3380652889017,46.20426977118032
Link_5,303.9081693844098,336.9606208939164,351.0520977699274,1.9011676257541385e-05,4.071283114973212,301.29034608607833,312.67849523188227,279.6260531944721
Link_6,80.73044305018723,256.657855755469,256.65785571649775,3.800147108776501e-07,40.64716879043347,1.0101520756478067e-05,3.8863337329409013,80.73044311039871
Link_7,314.8551660261052,351.05209606568707,351.0520977879636,1.0513763448974322e-07,25.029241058255167,312.91200641157167,314.8551643957464,45.08075564061685
Link_8,57.41464285761375,245.25687251032463,256.6578557099053,5.369152111829843e-07,14.494487203645772,25.359831325357607,31.18935055015091,110.1615174475789
Link_9,256.55128629071265,37.39543494705932,266.741911442922,1.8285008957048604e-07,3.8863659330261084,2.6178417300077745,11.170129816548371,6.504207540121595
Link_10,57.41276025180635,73.63240091127133,73.63240075031112,3.4325093737126446e-07,69.56115538089625,8.173379990367974e-06,12.589399386756913,1.5119385476738547e-05
Link_11,266.7419114554718,40.977011637279084,266.74191129066674,5.031360971226358e-07,2.3400972901660774e-05,12.808505318985038,16.694868740229964,12.028942696225432
Link_12,68.69524675623062,68.69517816692864,74.2199319384749,7.659861454500589e-06,2.6178309227109096,2.617845899735353,2.617846351223136,2.6178386913783167
Link_13,141.44773443259172,149.9999984128692,149.9999999731307,141.44772603852002,8.552260919098666,1.2252374065744659e-06,149.99999995511928,9.978096593446923e-06
Link_14,48.14743568032759,72.42954701993185,74.372713870113,1.170481828763989e-07,14.766134951199987,70.48637958243661,70.486361703253,39.51516692775665
Link_15,74.21993187402383,74.21993199176843,74.2199319581747,8.285847322787662e-08,8.078850417140843e-07,8.142591068452857,8.142585642970822,8.142583590945911
Link_16,73.47881305762753,49.19663657215479,73.4788146245621,46.578738217956214,4.071283214381053,49.196578930780134,49.196549027115964,45.125271386561
Link_17,77.42591941671807,117.6271696066865,117.6271695443501,57.29810240038626,11.721987548434214,51.187333636153085,51.187334111036925,11.722006586128733
Link_18,351.05209772113244,313.4686727275308,351.05209779583583,6.630697375821355e-07,205.37399237688066,93.75488047932267,331.30144775973633,195.23754219244586
Link_19,68.81286769808204,68.81286727658798,73.47881464175597,46.57872702803638,12.148303892971423,66.86966105351273,66.86958473321494,43.96091344270493
Link_20,117.62716736449063,100.19517208432501,117.62716957657017,57.29810286447309,1.4878326534223315e-05,36.8474985252544,71.63793437430876,34.46762327680517
Link_21,35.937517412602965,75.75289731366765,42.43323356000725,1.820497635172037e-06,75.75289617460554,2.6178248589655646,34.09139666056212,53.113603385225304
Link_22,12.780008833606034,73.50310549580298,75.68733871752322,39.7226831255688,11.721987290769457,11.722027209438128,11.722036449719681,1.0580017745206982
Link_23,146.1136744795576,148.05682127824915,149.9999998011757,141.44773393580903,7.283748501871326,4.665919645497171,149.9999995870532,2.3463283937080385e-07
Link_24,17.673106770786422,75.75289728965603,64.05807423596495,9.894847450606058e-08,8.1425928501625,17.67309791973095,57.44894352529133,75.75286299122936
Link_25,206.79367400305048,208.73682619546832,187.1119857693299,159.20091587026002,91.2945289844881,173.47399685672127,2.617825404881562,161.81871349221547
Link_26,193.19520340819986,206.7936490368367,208.73682627333253,159.20092204599982,22.415713242817702,193.1951883377464,25.975371901544698,184.45796335475578
Link_27,99.75941754548677,81.53526095501329,149.99999997153185,70.28960234018305,72.90741782886533,11.245638318182216,99.75941761107977,8.627842218337197
Link_28,106.44145821394505,202.68002308467652,162.68002356434778,29.797830667208004,35.25411502880078,43.62227949980018,106.44145754312598,158.07219736264815
Link_29,72.82376572941945,36.859139568625295,51.19892491101894,72.82374095027592,72.82376567779991,63.53900709952914,36.85913844653028,72.8237649676186
Link_30,17.093027964902863,74.90266035024389,74.90266018764153,17.09301414414037,2.781630129570314e-06,2.6178462759380863,74.90266036490425,21.70085307011122
Link_31,23.906334894473712,58.649840975907196,73.63240089597392,1.7986543195870496e-07,47.294816326161765,15.169165808239581,34.367677280285335,23.906354300461818
Link_32,131.05236927403547,127.62746990648441,149.99999987738693,70.28959554272154,149.99999904174246,27.250157395273288,87.71690063578835,19.374211281503477
Link_33,73.632397991128,37.43546813212043,73.63240090457339,2.6178018211248824,34.817661428019456,2.617790832648475,2.4317553041343164e-06,4.820586602569719
Link_34,4.071288530661226,41.85468239706646,73.14762423648318,4.071285015715759,2.417656660077155e-07,38.56296306278629,41.854681804924354,4.071284761428737
Link_35,348.3615966960174,348.36160243123805,351.052097797062,3.5611539834817957e-06,40.487071851626624,275.4038482337197,275.4038511641851,22.338784146860355
Link_36,40.125967326232285,40.125966478677455,73.63240091363757,2.6177969142678075,16.49627955734529,40.12594910492636,37.50816213061684,24.698939847962706
Link_37,387.1917915752376,387.19179213083356,388.5030095356614,3.096645116523103e-06,387.1917248964989,388.5030094592356,387.1917891928473,387.1917873674571
Link_38,387.191791580254,387.19179684294164,388.50300955382403,1.6458043921127367e-06,384.3281738191963,388.5030095536616,385.24863566014744,384.32816911909356
Link_39,76.3688341643481,76.3688373731486,76.36884222341911,1.6896012503307617e-06,75.0576128922042,73.11446049118616,75.05762253802925,3.7840277049742435
Link_40,35.36424556677301,70.27383306661643,73.14762427893692,4.0712829617258155,73.1476242705825,32.22848150245907,14.082283024299826,18.84563976027837
Link_41,45.61993463490955,45.61994164648656,76.91289170571459,3.591813805915071e-06,3.10987696598211e-06,1.5735487345050077,41.81060941854328,45.6199311561238
Link_42,73.87185900468707,70.99805471614121,73.87185900060629,4.7520508648057827e-07,1.5564264592952672e-06,20.422285477891865,53.073512402289175,52.92512027242476
Link_43,96.94221759201548,202.68002319057814,202.68002319822904,69.79783578045011,2.1064682731746776,89.95676749314782,202.68002298409726,202.68002238795128
Link_44,76.91289172162384,74.03908734015661,76.9128917421611,4.196389219031935e-07,65.18999325993367,8.849096938218576,2.3590485874219808e-05,50.427377059328606
Link_45,199.8366451387169,218.47129721815713,218.4712971993757,178.76116361969116,7.9576572339723235,4.58710744307658e-06,204.74558024950807,56.51349685043677
Link_46,118.09477015019145,143.9877084272629,143.98770842748525,5.516967558194865e-07,3.608330984219825e-06,2.120874707115318,2.120876136978869,29.22931409886773
Link_47,66.57972206364963,75.68733870188629,54.06249809097948,39.72267412128495,75.68733862369518,1.1605066423569072e-06,26.48812555436129,9.15337000238408e-07
Link_48,72.82376566050118,28.823753353133682,72.82376572871732,72.82374911678212,1.553272720404987e-05,63.53903728705276,72.82374961163079,44.000028188048404
Link_49,49.39364803385096,65.86132531063404,78.4486508163838,8.200511344773252e-07,9.735651867878737,32.2506094338577,17.771104371261394,78.44864958168344
Link_50,39.18235117200098,103.58268082451912,295.19845046677455,7.074848854617415e-07,39.182350078180235,39.18234362389758,295.19844949597746,19.621982288650496
Link_51,21.700846332351382,74.90266034973112,74.90266033420946,17.093013837593386,2.7277814267258735e-06,4.990009042914216e-07,18.099547230787053,57.809645623752346
Link_52,65.86129184804327,78.44865086647806,78.44865088110818,5.784830565364326e-07,15.217045354681034,34.868447388532275,68.50180352941418,43.346347197358014
Link_53,51.28380012781612,59.771936837220686,72.35926220258017,7.12534686449115e-07,27.167770746921832,11.031264681515971,21.75084231544656,10.024756542611833
Link_54,310.85084977335987,330.90067024989224,351.05209776361573,1.98982905618006e-07,217.0959650469883,108.09471559022131,310.8508474964645,172.4919255017694
Link_55,76.51442051893403,85.14420225926676,295.1984505932048,1.1127531831704589e-07,24.842557779230958,24.84250980781513,295.1984506075667,24.842547034222036
Link_56,338.37059729445207,336.7123021663377,351.0520977323061,320.1551180675774,2.6178340281089354,7.219370723842074e-06,227.45573388758754,351.05209720501966
Link_57,178.7611828593949,206.89044982791648,218.47129694270708,178.76116396950448,1.8660110253703487e-06,1.3269212424434271,206.89043729813105,1.3886413408293005e-05
Link_58,72.35926230945694,72.35926239255193,72.35926241387249,1.64419625355755e-07,32.64916417987542,11.031256859253364,15.67842833948215,11.031246711927512
Link_59,75.03911315256369,18.52563079068252,75.03911339594852,3.4375999846242043e-06,13.50339068135285,12.723812112953752,17.978278672306633,75.03909504744193
Link_60,335.50141869361266,335.70582112344687,351.0520978265162,320.155117007281,1.4399267324861797e-05,8.514186951981823e-06,207.005134735905,333.52704525991476
Link_61,75.03911305488246,19.53210895577309,75.03911335057222,3.239298266189803e-06,11.02712874634514,14.050720946027129,14.050721744965236,19.532102252734248
Link_62,75.89868506190507,75.89868497657385,75.89868503584178,2.7507516461322145e-07,65.28506205799593,3.09244845500504e-06,1.5547837503436843e-06,48.76572951072024
Link_63,73.91597069694862,76.1354577786818,76.13545776171387,43.40212126486169,22.61341702070173,7.000348844901241,51.18204095910553,76.1354569615564
Link_64,70.81001921052699,75.89868503142067,75.89868497362107,43.40212020908219,8.327257468437503,8.32726150023169,8.327263313244904,51.869140202501086
Link_65,70.34287051798253,78.44864607802198,78.44865088091389,1.8158973241865938e-07,72.28601223320003,7.000958787489717,7.000961223030053,7.000962055613898
