,Basis_Action_1,Basis_Action_2,Basis_Action_3,Basis_Action_4,Basis_Action_5,Basis_Action_6,Basis_Action_7,Basis_Action_8
0,90.49585272926922,1.625989889264369e-05,90.49585306056204,5.570129012125637e-08,1.5225586598790252e-05,7.076761440777288e-07,1.5749241483860914e-05,1.4285343525412677e-05
1,12.148319833762995,36.43044428825079,38.3736117917266,4.5985046126062775e-08,12.148317458159386,36.43044422464463,12.148319341531813,8.7349071084188e-07
2,78.36204509898734,12.148319073165977,104.58732176182863,3.816820339332988e-08,12.148319033873543,12.14831787070884,12.148318640610619,3.0589934675849976e-07
3,12.133809701462487,12.133810078142838,12.133810287517726,6.053262655243511e-08,1.4808139808830768e-05,12.133809422022392,12.133809571813758,1.527564555095738e-05
4,24.28212746404487,24.282141474983707,24.282143090459996,6.351813383306849e-08,1.3649872440225216e-05,24.282127061611934,1.6450162674236413e-05,1.4852934889290018e-05
5,36.76083018720141,252.77151177253197,36.76083032365798,3.1759056806732824e-07,36.760830092033174,1.4776814518288429e-07,3.173570658859407e-08,36.76082978133185
6,37.04372925760823,37.043730219508554,37.04373033849838,4.1198782614770095e-08,0.28290422150258493,35.10057561516237,37.0437290417961,22.95224178913004
7,32.762151915819146,224.49072343992316,41.35452648450394,2.818312839771331e-07,6.536865128845196,4.593699676331158,6.536866404526408,41.354526137488946
8,5.8260104542745196e-05,26.225333710816937,26.22533395023067,5.5715234462885825e-08,6.049980002365515e-07,3.760751659198272e-07,3.305284094121759e-06,3.028526346327521e-06
9,8.592322040201273,69.56114687734949,8.518158419544813,2.7096320680752476e-07,69.56114673497167,3.3858805989820725e-08,8.51815801113381,1.1330511920057996e-06
10,5.02878042435559e-06,28.168509836025503,5.951324360872482e-06,2.2474817185437138e-07,6.131253777843667e-08,4.551644986583531e-06,4.974720578293129e-06,3.817617218065291e-06
11,7.048391342965634e-05,1.5128846903622711e-05,71.60207772238856,7.467680625857053e-06,3.318180590325343e-07,1.4761757752112291e-05,1.5039450241226539e-05,7.691887520973079e-06
12,7.470892966422881e-06,8.872029154415504e-06,9.30637649994115e-06,4.1152187389516386e-08,4.888639154868894e-07,5.645575288146849e-07,9.206421071377836e-06,6.043296656875697e-06
13,2.0711806059303196e-06,24.282112891409923,26.225278988784343,4.299954073880047e-08,12.148318616426751,24.28212658505509,24.282112463182894,1.2962013720257243e-06
14,1.4595367748001088e-05,1.6132494387536607e-05,45.37674834121176,2.3202377048356657e-08,1.6340995549316386e-07,9.591021093862138e-06,1.5954297937216432e-05,1.449008474781837e-05
15,24.28225320272152,8.608134094120691e-05,24.28225337680487,7.540154570423622e-06,1.6329585977261507e-07,7.761937970107771e-05,7.948462810323342e-08,7.394907596353123e-06
16,57.29810248780994,57.29810259260416,59.91592739733931,57.29810233142167,3.1285799294511325e-07,39.46532825907931,39.46532680216221,3.686560571305607e-08
17,101.4826563242677,41.15361515404867,78.73703990606961,3.481101697925619e-08,41.15361310402665,7.506483291965485e-07,58.98639193581079,101.48265617625619
18,12.148389683893955,12.148389898255514,12.148392696894689,7.814323645239949e-08,12.1483038031747,12.148389611675741,12.14830388570146,2.1366064400030128e-07
19,117.62714357397972,57.29810235746849,57.29810502798516,57.29810225154843,5.647630469252727e-08,36.84749426597973,57.29810473995811,20.1277940454648
20,3.843441591102071e-06,39.81538336948487,39.81538317931219,1.0078929519369913e-07,2.109379547691457e-06,2.2459839072287996e-06,31.47355056980278,39.815382649667576
21,1.0579724863470876,48.7601289083561,63.965302003502856,39.72268154380898,4.793203079670382e-08,3.1843676456068975e-07,4.963551989849539e-07,1.0579723756110644
22,1.0128114529245453e-05,1.9431839935902362,1.0688646990349137e-05,7.654663374352823e-06,1.1358655590078536e-07,9.910864008413074e-06,9.961009859201097e-06,3.41903013702799e-08
23,9.530480623851652,61.00114174429525,49.306327689249905,2.3999703826131636e-08,1.7096626975417635e-07,9.53048053637159,49.306327551852554,61.00114167141741
24,11.655293651151952,11.655283451423005,25.293271178662092,2.3180985345315073e-08,11.655283073623849,11.655283415799243,7.16165167298754e-07,4.7539769442796073e-07
25,21.185773088783577,34.784216947794484,34.78421707087029,7.559902581898508e-06,11.65528075993321,21.1857710524934,17.83277845280373,21.185753488041172
26,26.851996035488376,8.627839878552336,77.09257493451894,1.8308636743207503e-06,3.847882114339889e-08,8.627839372008088,26.851995902814675,8.627839714579709
27,66.57951620720102,3.7603386288094005,3.7603385431898126,6.396745097173836e-08,3.9669870562603386e-07,3.760338413194233,66.57951608569398,3.760337911917492
28,9.509998032246386e-07,3.208147056537241e-07,9.232834762340671e-07,43.99999273201965,53.284754246399565,43.999992519280696,3.5433120492201246e-08,2.6178089183674946
29,17.09301393375553,74.9026560253763,29.711147422948223,17.093013608470933,5.0178851285948533e-08,2.6178434584463353,74.90265718314932,17.093013889353124
30,4.593697000143126,39.33718241953212,39.337182579297085,6.61709860482079e-08,39.33718231546916,4.593695386852,15.055022714488025,4.593696700117415
31,24.856490899703573,15.221252299170226,24.856490981464354,5.2634911574882786e-08,9.284750851725537,15.221252069878147,9.284752881465714,9.284752558020264
32,34.817660663506125,34.81766021792242,34.817660749461574,6.290245825346088e-08,34.8176601214539,3.7881778398098227e-07,8.136763153648889e-07,2.2027959767806884
33,2.1108738186094365e-06,37.7833953133721,69.07633633852782,1.9748369195120775e-06,4.8791981290463554e-08,37.783395072454965,37.78339524594455,4.965825114013313e-07
34,53.17621515927237,53.176215738850246,18.358565476385813,9.449115518279436e-08,18.358565376403615,18.358558923566665,18.358559777636255,18.358559412417126
