,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8
Link_1,2.6178224625906177,95.05682619000613,2.6178226094606973,2.6178223228851056,6.685966969818665e-08,2.6177936752779796,2.6178202755785116,2.6178201931185807
Link_2,2.617819547940505,2.6178197168485107,2.6178293720566987,1.5323340805427084e-05,2.6178157137897444,1.9763613250951817e-05,2.6178158028740444,1.1709607690839927e-07
Link_3,2.6178191509552375,95.0568227239,2.6178193589475756,2.617819030188064,2.617815621747398,2.6178133957954457,2.617813278421319,3.066810903233188e-08
Link_4,2.61782334581345,2.6178239074217036,2.6178242768428586,3.3396084076637573e-06,5.3176473695254134e-08,2.617800176456375,2.6178230511092786,2.617821630741663
Link_5,2.617822859575887,2.617823182954634,2.617832622569824,1.8616037848248284e-05,1.5890201475519022e-07,4.309578489459063e-08,2.61782280003124,2.6178202795465486
Link_6,1.0094089814676584e-05,1.0660742143689223e-05,97.67418428436109,3.448129322186732e-08,9.444859650702322e-06,9.629173346809712e-06,4.1293865640544284e-07,1.0610356441914521e-05
Link_7,3.76101023950176,3.761009003430201,3.761010462812442,3.005324230214675e-08,3.7610066778237643,3.761008403018789,3.7610088698685407,1.14318321604313
Link_8,4.808672471276378e-05,4.249334727698489e-05,96.3630037481872,7.882145444592275e-08,2.5467715912917072e-05,2.5248751734485048e-05,4.124148242763327e-05,3.985325902745872e-05
Link_9,252.66486290652605,2.617841982588024,2.617842242019036,3.780327247251918e-08,3.7337197782704047e-07,2.6178409407918783,2.6178417810986705,2.617841503571221
Link_10,8.213772678611038e-06,1.2998126611562497e-05,11.303275133928615,3.726656045317446e-08,8.077050339956193e-06,7.360318646362255e-06,3.9072565787920434e-07,1.293745585653826e-05
Link_11,250.04706937463024,2.6956930251395314e-05,5.261273661765328e-05,6.541399853112117e-08,2.330205813073991e-05,2.6036185374904056e-05,2.6801137347494292e-05,2.4160458830640233e-05
Link_12,47.99455808849751,68.69514704866802,2.6178164519358385,5.1022501310527774e-08,2.6178159926151023,2.6178154092711576,2.617816339589715,2.6178156664099523
Link_13,141.44772605958062,141.4477290224002,141.4477299932821,141.44772596872275,3.023735090899866e-08,1.362897672941695e-07,3.865645927015439e-06,3.7638328440734136e-06
Link_14,2.6178200341780715,2.6178204413155757,2.6178210263297395,4.691136674291915e-08,2.6178156080642005,2.6178198969738418,2.6178160539520885,1.4682911914906255e-06
Link_15,45.37673636462897,66.07733493127031,2.4546816871938593e-06,3.5279173929054635e-08,4.4124253758987993e-07,5.901469962700095e-07,2.3414417850300133e-06,1.936624971677727e-06
Link_16,45.125275960609194,45.125265637566805,45.12527613021219,42.50744691004727,5.6466688038084645e-08,45.12524504207994,45.12526541716005,45.125263573557625
Link_17,11.722004151929404,45.98927846192808,11.72200497544773,2.2316225968764838e-08,11.721986704890782,11.722003394272473,11.722003990499791,11.722003792407545
Link_18,93.75487217655085,108.09467806918944,108.09467821738806,5.760592550021042e-07,1.1605825890967708e-06,93.75486645456722,108.09467760353726,93.75487200388233
Link_19,42.50745092510528,42.50745005406297,42.50745888244492,42.5074436016069,5.998184867714682e-08,42.50744994347325,42.50744442185493,39.88962968132217
Link_20,7.837795709462572e-06,42.897053663538955,14.339814172584864,5.696374568625014e-07,8.365629496708816e-07,1.4648453520242297e-06,14.339814093224385,14.339813357130293
Link_21,2.617847105600964,2.617847428948333,2.6178470112090544,1.6881261052747937e-06,1.2833663938742089e-07,2.6178223912023375,2.6178456189549926,2.6178222999464147
Link_22,11.722008950558768,24.742949098005557,11.722008984592907,1.1152554564967197e-06,11.721987172281768,11.722000844802928,11.722008759348885,2.304670677747904e-06
Link_23,141.44775425155333,141.44772611414012,141.44775436125386,141.4477260120768,2.617838510296067,5.0807425590558577e-08,2.8838325371413537e-06,1.5050543413822362e-07
Link_24,3.367249229546576e-05,3.374530397237687e-05,2.5241205597560455e-05,2.494830295826979e-08,7.660261690119839e-07,2.5221700994216875e-05,2.3586441082221102e-05,1.16602659211582e-07
Link_25,161.81871287065937,161.81874391539677,161.81871292862957,159.2009158218554,3.4153607950995634e-08,161.81871267482182,2.6178230703758776,161.81871204615987
Link_26,159.20092762952345,159.20092732349235,159.2009155265978,159.20091420203164,2.6178391519018525,159.20091541983814,5.60485801568069e-08,159.20088624948872
Link_27,72.9074177997085,72.90741820688623,72.90742115662552,70.28960024428932,72.90741772683472,2.617796869213295,72.90742106251642,5.293765155771467e-08
Link_28,29.797830960644756,29.79783102519936,29.797831628624564,29.79783056571991,25.190005939159185,29.79783061700495,29.797830791795942,25.190006112814874
Link_29,44.00001659001609,3.346896416574612e-06,14.339788987566997,4.751020250789199e-08,1.4173603829780905e-07,3.155798583867869e-06,3.282167090309753e-06,41.3822079785054
Link_30,1.5953690701580464e-06,1.6890483950212361e-06,4.607855184518791,6.319784674938003e-08,4.094542945139714e-07,7.291116812861344e-07,8.328071409521792e-07,4.607838985380114
Link_31,2.6178397383033642,2.6178598563895163,12.609884227037142,5.399599656337492e-08,1.1712204478416196e-06,2.617837884503538,2.617856199230755,2.6178595234708317
Link_32,85.61471326661017,100.37731222659659,104.56234295865292,70.2895954416023,140.7152469110253,4.212123995592906e-08,70.28959587229805,10.089457594088529
Link_33,2.6177987309817348,2.6178011503791385,2.6178014067317017,2.6178008205667194,2.4522130954839884e-08,2.6177900724212875,2.526324783059368e-07,2.6177905837928264
