,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_24,7.575289733625706,5.410678838383653,4.113050395155991,5.141061990674404e-11,4.113050395712069,4.113050394794595,7.575289733350509,4.113050387195782,4.097772200192273,4.11305039629751
Link_25,10.384218872284832,7.542312652020153,7.542312648489189,5.189268320253618,20.873682629551833,7.542312648339248,20.487744724425706,7.542312651541003,3.417822490560781e-10,7.542312656808662
Link_26,9.79180679907809,9.791806799474601,9.79180679875877,3.1893000240702145e-10,20.873682628459594,20.873682629445927,20.87368262925938,7.542312645559084,5.894098585228131,9.791806800929526
Link_27,4.497487247002723,14.614062089633954,4.497487229515627,0.5793630163730352,8.264600586613614,4.497487229293899,14.61406209519504,14.614062089084145,4.497487229975718,13.32986888221424
Link_28,9.824705884641096,8.534381587139224,1.0168043970177547,1.0532879866360413e-09,8.534381592312997,7.1925538754256735,20.268002324553578,1.0168043955450696,1.0168043921127894,7.192553875645386
Link_29,7.282376574981306,6.4417557482909675,5.7307945414400265,5.7307945411420285,6.441755746793191,4.2758954446125505e-10,7.282376575403673,6.44175574658957,6.074985374250778e-11,6.44175574720151
Link_30,4.609905310016696,6.467330594917623,4.60990530875318,4.609905308166194,6.467330594421648,4.609905308510825,7.490266040874879,6.467330594092816,8.398313078418599e-11,7.490266040452029
Link_31,7.363240090817333,7.3632400934728155,1.4606229007047427e-08,4.9426345534075406e-11,7.363240092695529,3.733650673783365e-10,7.363240094938608,7.363240090699198,2.213077929955728e-10,7.363240094508231
Link_32,3.9181242145595676,7.685237563476066,3.918124214247336,6.801165028194445e-11,7.685237563891679,14.99999999988086,14.999999999736948,14.999999999353681,3.918124214095421,14.999999998335637
Link_33,5.69310899370779,6.977302190030084,5.693108981518796,5.6931089820531255,5.693108982129738,1.9744733056071555,6.977302190148957,4.727808037987102,1.974473305412976,5.69310898308408
Link_34,6.312512150632911e-09,7.314762430253483,4.5419750911474905e-09,4.35473407889928e-09,6.7429586634207346e-09,3.901941865142663e-10,7.314762430428075,6.223027215125229e-09,8.243471892007403e-11,7.3147624229463535
Link_35,34.81927190754576,34.81927190718653,11.081875820299615,10.674102522712197,3.71863571765135,6.03601024458511e-11,3.718635702126609,3.7186357167279236,3.718635717660191,3.718635702533119
Link_36,7.363240058640175,7.363240059070764,2.9073830973412667e-10,1.1968233863283448e-09,7.363240058013174,7.3632400949654455,7.363240094874537,7.3632400583296596,2.8960591812849063e-11,7.363240094006608
Link_37,6.97031652934764,8.25450971947007,6.970316479945952,6.21603998784022e-11,37.56610777373882,6.970316529207628,38.850300959822135,2.3604112014596894,6.97031652587666,6.970316531476919
Link_38,8.254509716886659,8.254509718360309,8.254509711853949,4.609905328036227,38.85030095989207,8.254509712248685,38.850300958778014,4.609905331230919,4.6099053310683775,8.254509721754697
Link_39,3.325712144131876,7.636884227382793,3.325712097987538,1.178124446110046e-10,3.325712143865085,2.3604111952350504,7.636884227932468,2.3604111986663723,2.3604111949145006,6.3526910317521725
Link_40,3.3176576444229636e-08,3.418379333514747e-08,2.007673668149445e-08,4.196506674555045e-09,3.391431616780108e-08,1.7490822999322636e-08,7.314762430373849,2.1081739094622867e-08,8.837588505448646e-11,7.314762429768687
