,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_1,18.54210229650635,22.11617825284799,14.678906899933434,22.11617825295261,15.893571665129967,13.741944465512871,18.54210229607994,22.11617825195928,24.977853074502917,14.75737255514403
Link_2,31.242014391900412,28.918392139812113,35.105209784753285,26.730975996384075,33.89054502191666,35.10520978487661,33.89054502141173,27.66793843311603,6.911636335506338e-11,35.10520978449218
Link_3,20.0860998129022,21.336553516534796,20.086099811530925,19.149137377016725,20.086099812013014,19.14913737737515,21.336553550612653,20.0860998105737,20.086099810310518,20.086099813316373
Link_4,3.863195397703097,7.437271391943593,7.156479920513935e-10,7.437271363531352,2.4651185025102373,6.119570527399784e-11,3.8631953963615064,7.437271355283371,7.437271378373044,0.07846565618124765
Link_5,29.19801687550456,29.198016876125312,29.1980168731558,29.19801687231997,29.198016875033616,29.198016873014332,30.596093766879022,29.198016874501615,4.391753264261508,29.27648252631984
Link_6,20.502404517777855,25.386160834097137,25.665785579856866,1.0727350963871446e-10,25.386160835115497,1.2910394461958867e-09,25.38616083470785,3.229996628352664,5.834058123448714e-10,25.665785579785734
Link_7,35.10520978420752,35.10520978337487,32.869984065082555,3.8760432571902297,32.86998409653646,35.10520978487989,35.10520978464153,3.8760432574137886,6.911183600585412e-11,32.869984065285614
Link_8,25.469283093819616,25.665785569677503,23.6655392656331,4.574474723918755,25.469283093510338,1.103683183341192,25.4692830963779,4.574474724508537,4.174142761540537,23.665539265673807
Link_9,26.674191145828242,26.67419114753003,24.02783276966711,23.51639254386335,26.674191145337225,26.674191144528262,26.674191149915373,26.674191144875895,6.908997578601612e-11,26.674191148054337
Link_10,0.31299294160317964,5.760963609483008,7.363240094979563,2.3768551379034028e-11,7.280117824930713,0.312992941419243,7.280117823576484,4.3667827239300465e-10,2.441695120955379e-10,7.28011782521603
Link_11,24.59082257722969,25.351539405363685,22.027586463129186,20.72762718361337,26.67419114218006,20.72762718382697,26.674191148280435,20.6554291559568,2.190347864921774,24.590822573232355
Link_12,7.4219931978120774,7.421993195917842,5.024259212105391,2.7887653604828766,7.421993194462248,7.421993193987619,7.4219931972678905,6.171539487914723,0.8336650401620588,7.421993195590994
Link_13,14.999999999904963,11.215270255343263,9.892618519057194,9.513412383871855e-11,11.215270254571454,9.892618519940662,11.215270262677898,11.215270254247725,9.892618519232151,11.21527026323079
Link_14,5.40719291409894,6.657646655630394,5.407192912313141,4.470230487595473,6.657646649393286,5.4071929119234845,6.657646650894224,5.407192913897789,2.545518114180633,5.407192914353589
Link_15,7.421993203442931,3.637263451319401,6.283043627469577e-10,7.386251756480514e-11,3.637263447157831,3.637263446819864,3.6372634586296293,3.637263446498858,3.4624579782134117e-10,3.637263459014726
Link_16,1.2395294649966055,7.3478814683671745,1.2395294648648714,7.347881468630878,2.3757285872609186,4.371169454842467e-11,7.347881466577882,7.347881468494721,7.347881468935325,1.2395294650570172
Link_17,10.457492258024168,11.762716963753947,2.2272547880995085e-09,3.3647354709254156,7.674101903562783,2.6949241791877108e-09,11.762716964578766,3.3647354694132647,8.387852022335363e-11,3.364735471623532
Link_18,35.10520978444517,1.4299939620990287,1.4299939604609018,6.074175331756614e-11,1.4299939653913871,0.1904644958652975,35.10520978478642,1.4299939615809087,4.202210927347639e-09,35.10520978350426
Link_19,2.7835269870232944,2.7835269874555246,1.622463164985279,1.5920752322859903,2.7835269868395565,1.6224631647382586,6.357602982472342,2.7835269856932725,1.622463164927093,2.783526986653086
Link_20,11.762716964378697,9.827975452021388,1.429993958023867,3.364735469749505,3.3647354699463405,0.1904644942471609,11.762716964916983,1.429993957302319,2.4394957688460466e-10,3.3647354702416687
Link_21,7.575289733683722,5.994159468423973,5.233442627460466,5.233442627363057,5.994159468148248,5.23344262596174,7.57528973393378,5.9941594679314285,5.1415552418576745e-11,5.233442629063063
Link_22,0.2863571991061004,7.5687338732744145,2.921793202677753e-10,7.56873387366138,4.953778883760904,1.2648676309951e-10,7.5687338720719755,7.568733873541545,7.568733874372407,0.2863571995306793
Link_23,12.916631425675561,13.677348257775359,12.916631423996357,2.541756297163025e-10,14.99999999871871,7.730784306407141,14.99999999968121,7.730784306744491,12.916631423900638,12.916631424985075
Link_24,4.132413776524116,0.48534199382188703,0.46791492963813164,0.4679149112492731,0.46791493365001885,0.46791492994051487,7.575289732733857,0.48534199216215684,0.46791491080726627,0.48534199415891316
Link_25,20.873682629200395,20.873682628229957,17.088952891163856,4.765527728057104,17.0889528920932,6.927361909739973,17.088952893841707,17.088952891717074,4.69251890374711,20.87368262870666
Link_26,15.347438097811372,17.82694315605997,15.347438098280701,1.2102351478287183e-08,15.347438101742231,1.8522269764347975e-10,20.873682629645078,8.09564946844458,8.18444671917144,17.826943155556798
Link_27,8.369566126265507,9.774677349824797,8.369566121758975,8.165979166772345,8.369566125687294,8.165979159235711,9.663936422969895,8.36956612485013,3.421316597060428e-10,9.663936422580534
Link_28,14.894993806507415,20.26800232492182,8.244881376028312,1.3431587656618854e-10,12.315153754233247,6.969284554017981,20.26800231771553,12.315153753969186,8.244881375520198,12.315153754634997
Link_29,7.282376575329573,6.11188461028257,6.111884610677924,2.499293134936541e-10,3.1681923241649933e-09,7.282376575439447,4.09926277594166e-09,3.7730607533480587,4.993390916429861e-11,7.2823765667880505
