,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_1,34.166484372605396,45.16255351381109,37.72528216469361,45.16255351778173,38.93994689899134,29.366326521382003,34.16648437208684,45.16255351527701,48.0395065220112,37.80374781637239
Link_2,47.282443941276554,44.958821689652055,51.14563932259415,42.77140553334636,49.93097457086495,51.145639324003724,49.93097457137819,43.70836798189858,16.040429537766318,51.145639338141976
Link_3,36.58883188545886,45.261278740048226,36.58883187118037,35.65186943575489,44.01082504121679,35.651869436765665,37.83928562379347,36.58883188080968,36.58883186953168,36.58883188640279
Link_4,10.322116791955914,13.896192786364455,6.4589213894022315,13.88091456965359,8.924039897759158,6.458921388508704,10.322116791048067,13.896192745019345,13.896192766773124,6.537387046016499
Link_5,44.36009642842307,44.36009646341492,51.78208961610742,51.78208961537318,44.36009642863951,44.360096408620066,45.7581733196716,51.7820896163659,26.991104190245807,51.86055526811157
Link_6,46.16819009769354,51.051946379954764,43.909577924913016,3.859371102959379,51.05194638583504,3.8593711045898638,51.05194638042864,7.0893677326737174,9.251243372252837e-10,43.90957792498301
Link_7,70.21041956914667,70.21041956071184,36.87455767224611,4.147131471072051,36.874557703917986,39.10978339125749,39.10978339253783,7.880616864713044,4.004573607153563,36.87455768846349
Link_8,50.54265655467107,50.73915902313525,41.37567260266394,4.574474724031405,50.54265653861766,8.089277889435879,50.54265655069451,15.263426912482634,11.019002039593612,48.73891271965778
Link_9,53.348382295661665,53.34838227143811,41.030536584792706,23.516392544239515,53.34838228688638,26.67419114502691,53.34838229946254,43.67689495942566,3.385001266396596e-10,43.676894963484614
Link_10,5.4267389081809165,13.124203703826947,12.476986060010788,5.113745964782704,12.393863791849512,5.42673890592066,14.643357918385636,5.113745966204145,1.3951102899632484,14.643357918100797
Link_11,48.42310748375931,51.43331843774301,43.61037722065447,21.98200204595959,50.50647605234028,28.96759675124954,52.755970206293966,42.23821992922785,10.430317432400308,48.42310749582586
Link_12,14.843986401051843,13.546357956038399,5.02425921392776,2.7887653605032963,14.84398638354566,14.843986397464292,14.843986400257293,6.1715394883926775,0.8336650403110248,7.421993197523476
Link_13,22.578006797219935,25.26340452857466,17.470625313631025,3.918124164813675,18.793277052122967,13.81074268440753,26.215270262535604,18.79327704935053,13.810742684462843,26.215270262180933
